t_index    term   df
7362aa27   aan   1
8d4c960c   aaron   3
cdfd93e9   ab   1
8acaabab   aback   1
b66b476b   abahd   1
1898dfab   abandon   39
3476afd1   abat   1
73bb8c64   abc   101
48b451e5   abcnew   3
2aaa20b5   abdallah   2
b23b8056   abdel   3
b89180f4   abdomin   2
9d8a6000   abduct   4
a1a0d146   abdul   16
a5270616   abdullah   49
677ee72a   abdurahman   1
26095900   aberr   1
87210b3c   abhad   1
df48d2c5   abhiyan   1
a9bc4f4d   abhorr   2
16eef617   abid   9
2970610c   abidin   4
135c4eca   abidjan   87
51bc3f8c   abijan   4
ae03fe31   abil   36
ce06c35c   abl   135
e1e8f64b   ablaz   3
b8befef9   abnorm   1
2a5b4c0d   aboard   144
a0f2a060   abobo   3
a7350629   abolish   4
4adc93c3   abomin   1
a279ab17   abort   15
7797f0ba   abou   1
aed899c8   abound   5
aeb1b3b7   abov   51
1a48d535   abovo   2
eb54087d   abraham   13
32fe9bd0   abreast   1
2a3a6f08   abrego   1
db7386cb   abroad   58
ec0e284e   abrog   2
22072155   abrupt   1
f6294782   abruptli   4
47cf853c   abscam   1
77b95fb9   absenc   6
023209eb   absent   4
af0247ed   absente   7
3af69965   absentia   3
69eccf31   absolut   54
1e60d76f   absorb   10
43659feb   abstain   1
83a4a9b8   abstent   1
ead8af65   absurd   2
b12d1b32   abu   13
7cae7994   abund   2
8b9c9d9a   abus   32
4e9c8dfd   abuzaakouk   1
a693d30f   abyan   12
a8072a58   abyssinian   1
8ccba97e   academ   6
3e476a4a   academi   4
ca03d868   academia   1
280beea9   acced   1
6f8912e6   acceler   4
2c781055   accent   4
abdaac39   accentu   2
cb1fdf2a   accept   156
1d107346   access   54
d3698266   accid   48
dcca2bc8   accident   3
6cfa8fcf   accommod   11
9b066e5b   accompani   36
94d4544b   accomplic   5
61df1260   accomplish   12
826748cb   accord   189
d9e6990c   accordingli   1
c2b0cc2b   accordion   1
40685053   account   190
0b237d3b   accredit   1
22e81070   accumul   2
f90628ef   accur   15
b245d47a   accuraci   1
4e1be9eb   accus   146
c91de161   accustom   2
e1482590   acerb   2
83a30b34   achiev   33
91422e16   acid   2
5ad50c20   acknowledg   61
f5818cf8   acolyt   1
147969a8   acosta   1
0490ca03   acquaint   2
6b6df5ac   acquiesc   1
ee86dd2e   acquir   6
328311dd   acquisit   1
5ccb5b34   acquit   8
3c6cbade   acquitt   3
68bc45fe   acr   1
bb6f6d30   acrimoni   2
0cb3893c   acrobat   5
1696efc1   acronym   1
daf1c3e4   act   203
bab1a306   action   120
2806903b   activ   112
e9c93f70   activist   20
52cf42cd   actor   4
028eee8b   actress   2
74689274   actual   93
59b6a4bb   adam   9
5b0ca07d   adapt   5
d0541d9f   add   20
0064ed9f   adden   1
5d0b1a33   addit   76
89daa72e   addition   4
66a2e449   address   74
f09780fe   adem   1
29b1c3f3   aden   482
2c621aac   adequ   7
30f257ef   adher   4
eee4e5b7   adiksa   2
504c12e1   adjac   4
5aec9cdd   adjam   2
6f1f54d2   adjoin   5
eddecaa6   adjourn   5
c1a1da9b   adjust   7
94714bca   adlai   1
dfa4d4bd   adm   70
bfacf090   admen   3
0fd58de2   administ   10
d5743f19   administr   179
508e8126   admir   47
9a9d0473   admiralti   1
be25dca3   admiringli   1
fb11328d   admiss   2
e2c3073c   admit   42
b19f56b4   ado   4
10f775ec   adob   1
f2071a51   adolesc   2
7183b677   adopt   17
d810dfb4   adorn   1
1f70d684   adoubi   3
fde912ec   adra   2
ec25bcd6   adrain   1
e8a8664a   adrenalin   1
200faa31   adriat   1
5a716506   adrift   8
df8f75b8   adult   10
40914bac   advanc   82
9647c183   advani   1
102e1905   advantag   21
79bbbc7b   adventist   1
32a74c2b   adventur   2
c4010538   advers   2
dc37f124   adversari   3
c1babb82   advertis   12
5611777f   advic   6
26ca6633   advis   101
8aa300f4   advisor   10
067784a5   advisori   2
f0aea19a   advoc   17
d9c32028   advocaci   2
a4d3ae4c   aegi   7
655ebe12   aerial   3
610d8011   aeroflot   2
bfac663e   affabl   1
44cb5ab6   affair   55
b7e90481   affect   33
67e23bbe   affection   1
185ff848   affili   6
234e3324   affirm   6
cbbb0e24   afflict   1
3e552902   afford   7
8b22b9f3   affront   2
0a9a7f96   afghan   35
c3eb00ae   afghanistan   98
0c4c220e   afi   2
05a50910   afibia   4
8e69fa95   afield   1
c8ca0346   afir   2
6727e719   afl   2
5dfa7269   afloat   18
157d8836   afoul   4
203c2c6b   afraid   37
7ae6705a   afredo   1
2eee9658   africa   106
694eade9   african   74
af11fe73   aft   4
375f24c9   aftehock   1
0e2d1a22   aftermath   17
6ada0fba   afternoon   80
5dcc4201   aftershock   67
bc942440   afterward   13
1dd99dc1   afundament   1
a69656fe   ag   46
e30666b0   agarw   3
83955fa0   agassi   204
f5f1ae7f   agbayani   2
bbe02c37   agenc   156
8463c9c8   agenda   14
ce6b7a65   agent   168
b404b788   ager   10
aeb99381   agglomer   1
093e95a5   aggrav   31
791d8bbf   aggress   25
351d4437   agil   1
fd2b5d5d   agit   1
62c0bdc6   ago   257
fd9910db   agon   7
5b0bd215   agoni   3
6bb6b866   agonizingli   1
a86a7ffd   agre   104
4b0d2ce2   agreement   78
fde6e98d   agricultur   19
c2394b29   agustin   1
1b2b19c6   ah   1
405db447   aha   1
f7eb8471   ahead   63
3750dc5f   ahemdabad   1
24c6b872   ahm   16
cf8f417f   ahmad   1
f1750599   ahmadabad   3
0d19d629   ahmar   2
1140a5f5   ahmedabad   47
e6758561   ahold   1
